EEG DATA
0.0 613.0
0.0 613.0
0.0 612.0
0.0 614.0
0.0 614.0
0.0 614.0
0.0 613.0
0.0 613.0
0.0 614.0
34.0 613.0
130.0 614.0
224.0 614.0
333.0 614.0
426.0 614.0
539.0 614.0
631.0 614.0
739.0 614.0
835.0 613.0
928.0 614.0
1038.0 613.0
1151.0 614.0
1243.0 613.0
1356.0 613.0
1448.0 613.0
1559.0 613.0
1644.0 613.0
1757.0 614.0
1846.0 614.0
1961.0 614.0
2072.0 613.0
2165.0 613.0
2277.0 614.0
2370.0 612.0
2481.0 613.0
2574.0 612.0
2683.0 614.0
2778.0 611.0
2889.0 612.0
2982.0 601.0
3095.0 610.0
3187.0 607.0
3295.0 606.0
3390.0 605.0
3501.0 614.0
3524.0 612.0
3628.0 616.0
3802.0 610.0
3823.0 606.0
3997.0 613.0
4023.0 611.0
4138.0 610.0
4221.0 608.0
4338.0 610.0
4425.0 605.0
4539.0 608.0
4629.0 611.0
4725.0 611.0
4833.0 612.0
4939.0 617.0
5022.0 608.0
5125.0 609.0
5227.0 604.0
5327.0 605.0
5429.0 612.0
5535.0 612.0
5637.0 612.0
5740.0 612.0
5850.0 613.0
5940.0 613.0
6045.0 613.0
6149.0 614.0
6261.0 613.0
6351.0 613.0
6456.0 614.0
6559.0 614.0
6671.0 613.0
6760.0 611.0
6865.0 611.0
6966.0 607.0
7078.0 596.0
7172.0 620.0
7272.0 604.0
7380.0 614.0
7491.0 611.0
7672.0 609.0
7677.0 610.0
7777.0 619.0
7880.0 612.0
7979.0 618.0
8024.0 612.0
8122.0 614.0
8221.0 613.0
8326.0 614.0
8427.0 611.0
8531.0 604.0
8633.0 615.0
8734.0 613.0
8838.0 611.0
8922.0 611.0
9022.0 614.0
9126.0 612.0
9229.0 616.0
9331.0 615.0
9430.0 614.0
9534.0 613.0
9637.0 608.0
9722.0 619.0
9822.0 612.0
9926.0 602.0
10029.0 608.0
10131.0 624.0
10233.0 615.0
10335.0 613.0
10439.0 603.0
10539.0 613.0
10642.0 609.0
10741.0 610.0
10847.0 612.0
10947.0 609.0
11052.0 616.0
11155.0 609.0
11257.0 612.0
11359.0 612.0
11461.0 613.0
11561.0 612.0
11665.0 613.0
11767.0 615.0
11871.0 614.0
11970.0 614.0
12076.0 613.0
12179.0 614.0
12277.0 614.0
12382.0 614.0
12423.0 614.0
12522.0 614.0
12625.0 614.0
12726.0 615.0
12830.0 613.0
12931.0 615.0
13037.0 614.0
13133.0 614.0
