EEG DATA
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
0.0 0.0
29.0 0.0
127.0 0.0
229.0 0.0
313.0 0.0
411.0 0.0
515.0 0.0
645.0 0.0
732.0 0.0
849.0 0.0
937.0 0.0
1014.0 0.0
1145.0 0.0
1239.0 0.0
1356.0 0.0
1449.0 0.0
1561.0 0.0
1644.0 0.0
1751.0 0.0
1847.0 0.0
1970.0 0.0
2062.0 0.0
2175.0 0.0
2263.0 0.0
2379.0 0.0
2462.0 0.0
2580.0 0.0
2667.0 0.0
2788.0 0.0
2880.0 0.0
2979.0 0.0
3083.0 0.0
3195.0 0.0
3278.0 0.0
3398.0 0.0
3486.0 0.0
3513.0 0.0
3697.0 0.0
3713.0 0.0
3831.0 0.0
3911.0 0.0
4013.0 0.0
4128.0 0.0
4213.0 0.0
4316.0 0.0
4427.0 0.0
4516.0 0.0
4631.0 0.0
4725.0 0.0
4828.0 0.0
4928.0 0.0
5030.0 0.0
5135.0 0.0
5246.0 0.0
5339.0 0.0
5448.0 0.0
5545.0 0.0
5656.0 0.0
5749.0 0.0
5860.0 0.0
5953.0 0.0
6065.0 0.0
6146.0 0.0
6262.0 0.0
6363.0 0.0
6461.0 0.0
6563.0 0.0
6678.0 0.0
6771.0 0.0
6878.0 0.0
6962.0 0.0
7086.0 0.0
7181.0 0.0
7279.0 0.0
7380.0 0.0
7495.0 0.0
7578.0 0.0
7695.0 0.0
7779.0 0.0
7815.0 0.0
8000.0 0.0
8016.0 0.0
8115.0 0.0
8230.0 0.0
8311.0 0.0
8485.0 0.0
8515.0 0.0
8612.0 0.0
8711.0 0.0
8829.0 0.0
8921.0 0.0
9029.0 0.0
9114.0 0.0
9213.0 0.0
9331.0 0.0
9412.0 0.0
9531.0 0.0
9628.0 0.0
9729.0 0.0
9830.0 0.0
9933.0 0.0
10029.0 0.0
10147.0 0.0
10228.0 0.0
10345.0 0.0
10445.0 0.0
10546.0 0.0
10645.0 0.0
10745.0 0.0
10853.0 0.0
10963.0 0.0
11046.0 0.0
11163.0 0.0
11245.0 0.0
11363.0 0.0
11471.0 0.0
11571.0 0.0
11664.0 0.0
11777.0 0.0
11887.0 0.0
11980.0 0.0
12086.0 0.0
12180.0 0.0
12295.0 0.0
12388.0 0.0
12501.0 0.0
12594.0 0.0
12616.0 0.0
12719.0 0.0
12901.0 0.0
12921.0 0.0
13015.0 0.0
13123.0 0.0
13220.0 0.0
13330.0 0.0
13418.0 0.0
13597.0 0.0
ECG DATA
0.0 388.0
0.0 432.0
0.0 440.0
0.0 425.0
0.0 421.0
0.0 426.0
0.0 422.0
0.0 433.0
0.0 429.0
29.0 432.0
127.0 427.0
229.0 429.0
313.0 427.0
411.0 421.0
515.0 434.0
645.0 428.0
732.0 431.0
849.0 430.0
937.0 433.0
1014.0 428.0
1145.0 432.0
1239.0 423.0
1356.0 427.0
1449.0 431.0
1561.0 433.0
1644.0 424.0
1751.0 432.0
1847.0 428.0
1970.0 428.0
2062.0 433.0
2175.0 430.0
2263.0 432.0
2379.0 434.0
2462.0 429.0
2580.0 427.0
2667.0 440.0
2788.0 432.0
2880.0 426.0
2979.0 431.0
3083.0 426.0
3195.0 406.0
3278.0 432.0
3398.0 457.0
3486.0 453.0
3513.0 467.0
3697.0 485.0
3713.0 492.0
3831.0 480.0
3911.0 480.0
4013.0 426.0
4128.0 420.0
4213.0 422.0
4316.0 396.0
4427.0 421.0
4516.0 425.0
4631.0 421.0
4725.0 451.0
4828.0 443.0
4928.0 434.0
5030.0 437.0
5135.0 447.0
5246.0 487.0
5339.0 474.0
5448.0 497.0
5545.0 497.0
5656.0 503.0
5749.0 503.0
5860.0 503.0
5953.0 482.0
6065.0 419.0
6146.0 441.0
6262.0 462.0
6363.0 423.0
6461.0 415.0
6563.0 406.0
6678.0 486.0
6771.0 531.0
6878.0 556.0
6962.0 539.0
7086.0 553.0
7181.0 591.0
7279.0 588.0
7380.0 588.0
7495.0 596.0
7578.0 579.0
7695.0 606.0
7779.0 609.0
7815.0 591.0
8000.0 590.0
8016.0 589.0
8115.0 600.0
8230.0 598.0
8311.0 605.0
8485.0 597.0
8515.0 592.0
8612.0 596.0
8711.0 602.0
8829.0 595.0
8921.0 603.0
9029.0 601.0
9114.0 560.0
9213.0 542.0
9331.0 515.0
9412.0 484.0
9531.0 463.0
9628.0 458.0
9729.0 451.0
9830.0 447.0
9933.0 444.0
10029.0 436.0
10147.0 438.0
10228.0 439.0
10345.0 439.0
10445.0 429.0
10546.0 420.0
10645.0 425.0
10745.0 432.0
10853.0 422.0
10963.0 423.0
11046.0 428.0
11163.0 428.0
11245.0 429.0
11363.0 425.0
11471.0 423.0
11571.0 424.0
11664.0 426.0
11777.0 424.0
11887.0 420.0
11980.0 422.0
12086.0 420.0
12180.0 415.0
12295.0 432.0
12388.0 428.0
12501.0 437.0
12594.0 435.0
12616.0 442.0
12719.0 443.0
12901.0 441.0
12921.0 438.0
13015.0 451.0
13123.0 441.0
13220.0 435.0
13330.0 444.0
13418.0 440.0
13597.0 445.0
COMMENTS

