EEG DATA
26053.0 509.0
27038.0 512.0
27038.0 511.0
27038.0 511.0
27038.0 510.0
27038.0 514.0
27038.0 511.0
27038.0 513.0
27038.0 511.0
27038.0 513.0
27038.0 513.0
28061.0 511.0
28061.0 511.0
28061.0 512.0
28061.0 511.0
28061.0 512.0
28061.0 512.0
28061.0 513.0
28061.0 512.0
28061.0 514.0
28061.0 512.0
29082.0 511.0
29082.0 513.0
29082.0 514.0
29082.0 514.0
29082.0 515.0
29082.0 515.0
29082.0 515.0
29082.0 512.0
29082.0 512.0
29082.0 512.0
30054.0 511.0
30054.0 513.0
30054.0 514.0
30054.0 513.0
30054.0 511.0
30054.0 511.0
30054.0 512.0
30054.0 512.0
30054.0 510.0
30054.0 512.0
31052.0 511.0
31052.0 512.0
31052.0 511.0
31052.0 511.0
31052.0 513.0
31052.0 515.0
31052.0 510.0
31052.0 513.0
31052.0 512.0
31052.0 512.0
32055.0 512.0
32055.0 514.0
32055.0 513.0
32055.0 515.0
32055.0 510.0
32055.0 512.0
32055.0 511.0
32055.0 510.0
32055.0 516.0
32055.0 512.0
33076.0 512.0
33076.0 511.0
33076.0 513.0
33076.0 513.0
33076.0 516.0
33076.0 509.0
33076.0 510.0
33076.0 515.0
33076.0 512.0
33076.0 513.0
34039.0 511.0
34039.0 513.0
34039.0 511.0
34039.0 512.0
34039.0 512.0
34039.0 512.0
34039.0 516.0
34039.0 511.0
34039.0 511.0
34039.0 511.0
ECG DATA
26053.0 512.0
27038.0 512.0
27038.0 512.0
27038.0 511.0
27038.0 523.0
27038.0 516.0
27038.0 518.0
27038.0 509.0
27038.0 514.0
27038.0 513.0
27038.0 512.0
28061.0 517.0
28061.0 515.0
28061.0 514.0
28061.0 520.0
28061.0 517.0
28061.0 512.0
28061.0 515.0
28061.0 511.0
28061.0 512.0
28061.0 516.0
29082.0 521.0
29082.0 512.0
29082.0 507.0
29082.0 511.0
29082.0 514.0
29082.0 512.0
29082.0 506.0
29082.0 512.0
29082.0 514.0
29082.0 514.0
30054.0 513.0
30054.0 515.0
30054.0 515.0
30054.0 509.0
30054.0 509.0
30054.0 511.0
30054.0 517.0
30054.0 515.0
30054.0 515.0
30054.0 521.0
31052.0 511.0
31052.0 515.0
31052.0 514.0
31052.0 512.0
31052.0 515.0
31052.0 511.0
31052.0 510.0
31052.0 516.0
31052.0 507.0
31052.0 524.0
32055.0 512.0
32055.0 512.0
32055.0 510.0
32055.0 514.0
32055.0 507.0
32055.0 511.0
32055.0 521.0
32055.0 512.0
32055.0 517.0
32055.0 510.0
33076.0 511.0
33076.0 512.0
33076.0 514.0
33076.0 512.0
33076.0 514.0
33076.0 519.0
33076.0 516.0
33076.0 517.0
33076.0 511.0
33076.0 514.0
34039.0 515.0
34039.0 512.0
34039.0 512.0
34039.0 518.0
34039.0 510.0
34039.0 519.0
34039.0 512.0
34039.0 515.0
34039.0 510.0
34039.0 512.0
COMMENTS

