EEG DATA
41933.0 513.0
42044.0 512.0
42138.0 514.0
42227.0 512.0
42329.0 511.0
42432.0 513.0
42534.0 511.0
42637.0 512.0
42739.0 512.0
42842.0 512.0
42945.0 509.0
43047.0 511.0
43149.0 509.0
43252.0 512.0
43354.0 511.0
43457.0 511.0
43558.0 515.0
43674.0 513.0
43763.0 511.0
43878.0 508.0
43968.0 515.0
44084.0 512.0
44174.0 513.0
44289.0 514.0
44378.0 515.0
44493.0 513.0
44581.0 512.0
44684.0 513.0
44785.0 514.0
44826.0 512.0
44929.0 512.0
45027.0 512.0
45132.0 509.0
45235.0 510.0
45338.0 507.0
45441.0 509.0
45524.0 513.0
45639.0 515.0
45728.0 513.0
45843.0 511.0
45933.0 514.0
46028.0 508.0
46138.0 508.0
46234.0 515.0
46343.0 511.0
46438.0 512.0
46528.0 512.0
46631.0 512.0
46746.0 512.0
46836.0 511.0
46950.0 513.0
47041.0 509.0
47156.0 512.0
47245.0 515.0
47360.0 516.0
47450.0 510.0
47564.0 512.0
47654.0 510.0
47757.0 512.0
47860.0 513.0
47962.0 513.0
48065.0 514.0
48166.0 508.0
48267.0 512.0
48369.0 508.0
48475.0 513.0
48575.0 514.0
48676.0 509.0
48778.0 510.0
48881.0 514.0
48924.0 519.0
49024.0 510.0
49125.0 513.0
49228.0 508.0
49330.0 510.0
49433.0 511.0
49535.0 515.0
49642.0 515.0
49742.0 510.0
49826.0 509.0
49926.0 514.0
ECG DATA
41933.0 510.0
42044.0 512.0
42138.0 519.0
42227.0 519.0
42329.0 515.0
42432.0 515.0
42534.0 517.0
42637.0 508.0
42739.0 514.0
42842.0 515.0
42945.0 509.0
43047.0 520.0
43149.0 514.0
43252.0 513.0
43354.0 513.0
43457.0 519.0
43558.0 511.0
43674.0 512.0
43763.0 512.0
43878.0 520.0
43968.0 518.0
44084.0 515.0
44174.0 515.0
44289.0 511.0
44378.0 513.0
44493.0 512.0
44581.0 512.0
44684.0 517.0
44785.0 518.0
44826.0 515.0
44929.0 512.0
45027.0 511.0
45132.0 511.0
45235.0 523.0
45338.0 516.0
45441.0 511.0
45524.0 515.0
45639.0 511.0
45728.0 512.0
45843.0 502.0
45933.0 522.0
46028.0 516.0
46138.0 512.0
46234.0 512.0
46343.0 512.0
46438.0 515.0
46528.0 509.0
46631.0 515.0
46746.0 510.0
46836.0 515.0
46950.0 506.0
47041.0 511.0
47156.0 516.0
47245.0 510.0
47360.0 514.0
47450.0 512.0
47564.0 509.0
47654.0 518.0
47757.0 516.0
47860.0 507.0
47962.0 522.0
48065.0 518.0
48166.0 509.0
48267.0 511.0
48369.0 515.0
48475.0 514.0
48575.0 516.0
48676.0 515.0
48778.0 512.0
48881.0 515.0
48924.0 518.0
49024.0 513.0
49125.0 513.0
49228.0 511.0
49330.0 516.0
49433.0 507.0
49535.0 513.0
49642.0 511.0
49742.0 513.0
49826.0 515.0
49926.0 512.0
COMMENTS

