EEG DATA
50144.0 513.0
50241.0 513.0
50330.0 514.0
50431.0 513.0
50534.0 512.0
50637.0 512.0
50739.0 512.0
50840.0 513.0
50943.0 512.0
51046.0 514.0
51149.0 512.0
51251.0 517.0
51353.0 508.0
51456.0 512.0
51559.0 507.0
51661.0 511.0
51763.0 512.0
51866.0 513.0
51968.0 510.0
52069.0 509.0
52172.0 514.0
52272.0 515.0
52375.0 508.0
52479.0 512.0
52579.0 512.0
52682.0 510.0
52784.0 511.0
52887.0 509.0
52932.0 513.0
53116.0 509.0
53212.0 512.0
53237.0 527.0
53332.0 501.0
53517.0 507.0
53542.0 516.0
53637.0 513.0
53732.0 520.0
53847.0 508.0
53943.0 510.0
54038.0 514.0
54131.0 512.0
54245.0 511.0
54341.0 510.0
54455.0 511.0
54549.0 513.0
54645.0 513.0
54758.0 512.0
54853.0 514.0
54932.0 512.0
55064.0 513.0
55159.0 513.0
55273.0 513.0
55345.0 517.0
55447.0 518.0
55544.0 526.0
55642.0 513.0
55741.0 518.0
55843.0 509.0
55946.0 516.0
56048.0 512.0
56154.0 507.0
56266.0 498.0
56363.0 503.0
56468.0 515.0
56566.0 509.0
56664.0 510.0
56765.0 508.0
56868.0 511.0
56973.0 511.0
57073.0 513.0
57174.0 511.0
57277.0 510.0
57383.0 514.0
57483.0 518.0
57583.0 514.0
57684.0 514.0
57730.0 512.0
57889.0 506.0
57932.0 513.0
58032.0 509.0
58140.0 511.0
ECG DATA
50144.0 513.0
50241.0 510.0
50330.0 510.0
50431.0 515.0
50534.0 510.0
50637.0 513.0
50739.0 513.0
50840.0 516.0
50943.0 519.0
51046.0 515.0
51149.0 508.0
51251.0 517.0
51353.0 511.0
51456.0 514.0
51559.0 508.0
51661.0 511.0
51763.0 516.0
51866.0 511.0
51968.0 509.0
52069.0 518.0
52172.0 521.0
52272.0 512.0
52375.0 516.0
52479.0 517.0
52579.0 512.0
52682.0 513.0
52784.0 506.0
52887.0 506.0
52932.0 518.0
53116.0 514.0
53212.0 513.0
53237.0 509.0
53332.0 516.0
53517.0 516.0
53542.0 513.0
53637.0 516.0
53732.0 518.0
53847.0 509.0
53943.0 518.0
54038.0 510.0
54131.0 511.0
54245.0 509.0
54341.0 512.0
54455.0 514.0
54549.0 510.0
54645.0 515.0
54758.0 511.0
54853.0 504.0
54932.0 514.0
55064.0 511.0
55159.0 511.0
55273.0 514.0
55345.0 521.0
55447.0 515.0
55544.0 510.0
55642.0 512.0
55741.0 512.0
55843.0 510.0
55946.0 515.0
56048.0 518.0
56154.0 508.0
56266.0 511.0
56363.0 507.0
56468.0 518.0
56566.0 516.0
56664.0 518.0
56765.0 519.0
56868.0 515.0
56973.0 503.0
57073.0 517.0
57174.0 503.0
57277.0 514.0
57383.0 516.0
57483.0 510.0
57583.0 517.0
57684.0 510.0
57730.0 511.0
57889.0 511.0
57932.0 512.0
58032.0 515.0
58140.0 516.0
COMMENTS

