EEG DATA
3.0 618.0
5.0 617.0
5.0 618.0
5.0 618.0
5.0 618.0
5.0 617.0
5.0 618.0
5.0 617.0
5.0 617.0
55.0 617.0
169.0 618.0
259.0 617.0
373.0 618.0
465.0 617.0
579.0 618.0
665.0 618.0
770.0 617.0
870.0 617.0
975.0 618.0
1089.0 618.0
1178.0 618.0
1219.0 617.0
1320.0 617.0
1521.0 617.0
1624.0 617.0
1726.0 618.0
1831.0 617.0
1933.0 616.0
2035.0 612.0
2117.0 617.0
2231.0 616.0
2320.0 616.0
2434.0 617.0
2528.0 616.0
2621.0 616.0
2732.0 615.0
2832.0 615.0
2927.0 615.0
3020.0 614.0
3132.0 618.0
3244.0 615.0
3337.0 610.0
3448.0 615.0
3533.0 616.0
3643.0 615.0
3737.0 616.0
3847.0 616.0
3959.0 617.0
4045.0 616.0
4154.0 617.0
4250.0 615.0
4361.0 616.0
4454.0 616.0
4565.0 613.0
4658.0 613.0
4769.0 615.0
4879.0 616.0
4974.0 615.0
5083.0 616.0
5171.0 617.0
5282.0 617.0
5373.0 618.0
5486.0 618.0
5597.0 619.0
5687.0 617.0
5803.0 618.0
5897.0 617.0
5920.0 618.0
6026.0 617.0
6128.0 617.0
6295.0 618.0
6320.0 617.0
6430.0 618.0
6518.0 619.0
6631.0 619.0
6725.0 617.0
6834.0 616.0
6928.0 618.0
7019.0 617.0
7131.0 618.0
7225.0 618.0
7334.0 618.0
ECG DATA
3.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
5.0 0.0
55.0 0.0
169.0 0.0
259.0 0.0
373.0 0.0
465.0 0.0
579.0 0.0
665.0 0.0
770.0 0.0
870.0 0.0
975.0 0.0
1089.0 0.0
1178.0 0.0
1219.0 0.0
1320.0 0.0
1422.0 0.0
1521.0 0.0
1624.0 0.0
1726.0 0.0
1831.0 0.0
1933.0 0.0
2035.0 0.0
2117.0 0.0
2231.0 0.0
2320.0 0.0
2434.0 0.0
2528.0 0.0
2621.0 0.0
2732.0 0.0
2832.0 0.0
2927.0 0.0
3020.0 0.0
3132.0 0.0
3244.0 0.0
3337.0 0.0
3448.0 0.0
3533.0 0.0
3643.0 0.0
3737.0 0.0
3847.0 0.0
3959.0 0.0
4045.0 0.0
4154.0 0.0
4250.0 0.0
4361.0 0.0
4454.0 0.0
4565.0 0.0
4658.0 0.0
4769.0 0.0
4879.0 0.0
4974.0 0.0
5083.0 0.0
5171.0 0.0
5282.0 0.0
5373.0 0.0
5486.0 0.0
5597.0 0.0
5687.0 0.0
5803.0 0.0
5897.0 0.0
5920.0 0.0
6026.0 0.0
6128.0 0.0
6295.0 0.0
6320.0 0.0
6430.0 0.0
6518.0 0.0
6631.0 0.0
6725.0 0.0
6834.0 0.0
6928.0 0.0
7019.0 0.0
7131.0 0.0
7225.0 0.0
7334.0 0.0
COMMENTS

