EEG DATA
49873.0 511.0
49974.0 513.0
50077.0 510.0
50180.0 511.0
50282.0 514.0
50328.0 510.0
50445.0 515.0
50528.0 509.0
50630.0 515.0
50732.0 511.0
50831.0 511.0
50929.0 515.0
51047.0 512.0
51146.0 513.0
51245.0 513.0
51347.0 513.0
51430.0 511.0
51532.0 513.0
51634.0 515.0
51737.0 511.0
51840.0 512.0
51944.0 515.0
52044.0 513.0
52147.0 512.0
52229.0 515.0
52332.0 514.0
52434.0 511.0
52537.0 512.0
52639.0 512.0
52742.0 509.0
52844.0 512.0
52947.0 512.0
53050.0 513.0
53152.0 510.0
53255.0 515.0
53356.0 510.0
53459.0 512.0
53561.0 514.0
53664.0 514.0
53765.0 511.0
53868.0 513.0
53971.0 510.0
54073.0 511.0
54175.0 511.0
54278.0 514.0
54378.0 512.0
54481.0 511.0
54582.0 513.0
54684.0 509.0
54729.0 513.0
54847.0 511.0
54931.0 516.0
55033.0 513.0
55135.0 514.0
55237.0 513.0
55340.0 513.0
55443.0 512.0
55545.0 511.0
55628.0 514.0
55731.0 512.0
55831.0 515.0
55929.0 513.0
56029.0 514.0
56144.0 511.0
56244.0 510.0
56346.0 510.0
56428.0 513.0
56545.0 510.0
56649.0 516.0
56751.0 512.0
56854.0 511.0
56956.0 511.0
57058.0 512.0
57159.0 515.0
57263.0 513.0
57365.0 513.0
57467.0 508.0
57570.0 512.0
57672.0 512.0
57774.0 512.0
57877.0 515.0
ECG DATA
49873.0 515.0
49974.0 521.0
50077.0 512.0
50180.0 513.0
50282.0 516.0
50328.0 504.0
50445.0 516.0
50528.0 510.0
50630.0 510.0
50732.0 512.0
50831.0 513.0
50929.0 508.0
51047.0 516.0
51146.0 516.0
51245.0 510.0
51347.0 513.0
51430.0 512.0
51532.0 511.0
51634.0 506.0
51737.0 510.0
51840.0 516.0
51944.0 518.0
52044.0 519.0
52147.0 511.0
52229.0 514.0
52332.0 515.0
52434.0 512.0
52537.0 514.0
52639.0 512.0
52742.0 513.0
52844.0 512.0
52947.0 514.0
53050.0 518.0
53152.0 507.0
53255.0 512.0
53356.0 511.0
53459.0 509.0
53561.0 513.0
53664.0 514.0
53765.0 516.0
53868.0 511.0
53971.0 515.0
54073.0 518.0
54175.0 507.0
54278.0 515.0
54378.0 518.0
54481.0 517.0
54582.0 511.0
54684.0 511.0
54729.0 516.0
54847.0 512.0
54931.0 511.0
55033.0 518.0
55135.0 511.0
55237.0 515.0
55340.0 515.0
55443.0 510.0
55545.0 516.0
55628.0 515.0
55731.0 512.0
55831.0 511.0
55929.0 510.0
56029.0 518.0
56144.0 513.0
56244.0 516.0
56346.0 508.0
56428.0 514.0
56545.0 512.0
56649.0 512.0
56751.0 521.0
56854.0 513.0
56956.0 512.0
57058.0 514.0
57159.0 513.0
57263.0 514.0
57365.0 508.0
57467.0 509.0
57570.0 511.0
57672.0 511.0
57774.0 506.0
57877.0 507.0
COMMENTS

-Odd feelings
-Feelings of fuzzyness
-Loss of equilibrium with consequential accidental falls
-Feelings of numbness

