EEG DATA
13051.0 510.0
14074.0 512.0
14074.0 512.0
14074.0 515.0
14074.0 514.0
14074.0 514.0
14074.0 511.0
14074.0 510.0
14074.0 510.0
14074.0 511.0
14074.0 513.0
15036.0 511.0
15036.0 512.0
15036.0 514.0
15036.0 514.0
15036.0 511.0
15036.0 514.0
15036.0 517.0
15036.0 510.0
15036.0 509.0
15036.0 513.0
16052.0 511.0
16052.0 512.0
16052.0 512.0
16052.0 514.0
16052.0 516.0
16052.0 512.0
16052.0 511.0
16052.0 510.0
16052.0 510.0
16052.0 511.0
17056.0 511.0
17056.0 511.0
17056.0 511.0
17056.0 507.0
17056.0 511.0
17056.0 512.0
17056.0 513.0
17056.0 514.0
17056.0 515.0
17056.0 515.0
18079.0 514.0
18079.0 515.0
18079.0 512.0
18079.0 512.0
18079.0 515.0
18079.0 510.0
18079.0 513.0
18079.0 513.0
18079.0 509.0
18079.0 511.0
19104.0 513.0
19104.0 514.0
19104.0 507.0
19104.0 509.0
19104.0 513.0
19104.0 512.0
19104.0 513.0
19104.0 512.0
19104.0 512.0
19104.0 512.0
20047.0 513.0
20047.0 513.0
20047.0 510.0
20047.0 516.0
20047.0 514.0
20047.0 513.0
20047.0 513.0
20047.0 512.0
20047.0 509.0
20047.0 514.0
21051.0 518.0
21051.0 517.0
21051.0 514.0
21051.0 511.0
21051.0 511.0
21051.0 510.0
21051.0 512.0
21051.0 509.0
21051.0 509.0
21051.0 510.0
ECG DATA
13051.0 512.0
14074.0 516.0
14074.0 512.0
14074.0 512.0
14074.0 513.0
14074.0 512.0
14074.0 518.0
14074.0 511.0
14074.0 514.0
14074.0 516.0
14074.0 521.0
15036.0 516.0
15036.0 515.0
15036.0 513.0
15036.0 508.0
15036.0 521.0
15036.0 515.0
15036.0 516.0
15036.0 512.0
15036.0 515.0
15036.0 519.0
16052.0 512.0
16052.0 519.0
16052.0 524.0
16052.0 504.0
16052.0 512.0
16052.0 513.0
16052.0 515.0
16052.0 515.0
16052.0 514.0
16052.0 513.0
17056.0 515.0
17056.0 512.0
17056.0 506.0
17056.0 519.0
17056.0 513.0
17056.0 511.0
17056.0 515.0
17056.0 518.0
17056.0 517.0
17056.0 509.0
18079.0 510.0
18079.0 516.0
18079.0 520.0
18079.0 515.0
18079.0 508.0
18079.0 511.0
18079.0 512.0
18079.0 510.0
18079.0 515.0
18079.0 514.0
19104.0 511.0
19104.0 513.0
19104.0 509.0
19104.0 515.0
19104.0 510.0
19104.0 517.0
19104.0 513.0
19104.0 518.0
19104.0 512.0
19104.0 522.0
20047.0 513.0
20047.0 515.0
20047.0 516.0
20047.0 514.0
20047.0 516.0
20047.0 512.0
20047.0 518.0
20047.0 518.0
20047.0 514.0
20047.0 516.0
21051.0 519.0
21051.0 516.0
21051.0 517.0
21051.0 516.0
21051.0 507.0
21051.0 520.0
21051.0 515.0
21051.0 511.0
21051.0 511.0
21051.0 515.0
COMMENTS

