EEG DATA
24.0 512.0
1014.0 513.0
1015.0 512.0
1015.0 511.0
1015.0 509.0
1016.0 510.0
1016.0 511.0
1016.0 513.0
1017.0 514.0
1017.0 513.0
1017.0 516.0
2019.0 513.0
2019.0 511.0
2019.0 513.0
2019.0 513.0
2019.0 510.0
2019.0 511.0
2019.0 511.0
2019.0 511.0
2019.0 513.0
2019.0 512.0
3043.0 515.0
3043.0 511.0
3043.0 513.0
3043.0 514.0
3044.0 508.0
3044.0 512.0
3044.0 514.0
3044.0 511.0
3044.0 511.0
3044.0 515.0
4068.0 515.0
4068.0 511.0
4068.0 513.0
4068.0 513.0
4068.0 512.0
4069.0 514.0
4069.0 509.0
4069.0 513.0
4069.0 513.0
4069.0 508.0
5026.0 509.0
5026.0 510.0
5026.0 508.0
5027.0 513.0
5027.0 514.0
5027.0 516.0
5027.0 516.0
5027.0 512.0
5027.0 511.0
5027.0 515.0
6024.0 514.0
6024.0 515.0
6024.0 518.0
6024.0 511.0
6024.0 511.0
6024.0 509.0
6024.0 510.0
6024.0 507.0
6024.0 510.0
6024.0 512.0
7047.0 511.0
7047.0 511.0
7047.0 509.0
7047.0 513.0
7047.0 513.0
7047.0 513.0
7047.0 512.0
7047.0 516.0
7047.0 518.0
7047.0 516.0
8062.0 515.0
8062.0 518.0
8062.0 511.0
8062.0 513.0
8062.0 510.0
8062.0 510.0
8062.0 511.0
8062.0 513.0
8062.0 511.0
8062.0 514.0
ECG DATA
24.0 512.0
1014.0 509.0
1015.0 513.0
1015.0 521.0
1015.0 516.0
1016.0 516.0
1016.0 519.0
1016.0 512.0
1017.0 512.0
1017.0 511.0
1017.0 517.0
2019.0 513.0
2019.0 520.0
2019.0 511.0
2019.0 512.0
2019.0 515.0
2019.0 507.0
2019.0 520.0
2019.0 519.0
2019.0 513.0
2019.0 519.0
3043.0 510.0
3043.0 514.0
3043.0 507.0
3043.0 520.0
3044.0 507.0
3044.0 513.0
3044.0 515.0
3044.0 519.0
3044.0 511.0
3044.0 511.0
4068.0 509.0
4068.0 511.0
4068.0 514.0
4068.0 521.0
4068.0 519.0
4069.0 512.0
4069.0 511.0
4069.0 516.0
4069.0 515.0
4069.0 518.0
5026.0 518.0
5026.0 516.0
5026.0 518.0
5027.0 516.0
5027.0 517.0
5027.0 518.0
5027.0 518.0
5027.0 517.0
5027.0 514.0
5027.0 513.0
6024.0 517.0
6024.0 517.0
6024.0 510.0
6024.0 509.0
6024.0 515.0
6024.0 526.0
6024.0 512.0
6024.0 521.0
6024.0 513.0
6024.0 522.0
7047.0 518.0
7047.0 515.0
7047.0 514.0
7047.0 513.0
7047.0 521.0
7047.0 510.0
7047.0 520.0
7047.0 511.0
7047.0 513.0
7047.0 510.0
8062.0 515.0
8062.0 512.0
8062.0 513.0
8062.0 512.0
8062.0 511.0
8062.0 508.0
8062.0 517.0
8062.0 516.0
8062.0 515.0
8062.0 514.0
COMMENTS

