EEG DATA
77459.0 511.0
77562.0 513.0
77664.0 515.0
77767.0 507.0
77869.0 512.0
77972.0 518.0
78072.0 514.0
78174.0 513.0
78277.0 515.0
78378.0 514.0
78424.0 516.0
78583.0 508.0
78627.0 511.0
78723.0 512.0
78828.0 512.0
78931.0 508.0
79033.0 512.0
79137.0 512.0
79239.0 516.0
79341.0 512.0
79424.0 510.0
79527.0 510.0
79629.0 515.0
79731.0 515.0
79833.0 514.0
79937.0 508.0
80039.0 510.0
80136.0 515.0
80225.0 504.0
80327.0 514.0
80430.0 511.0
80531.0 509.0
80635.0 513.0
80737.0 516.0
80839.0 515.0
80940.0 510.0
81043.0 510.0
81146.0 517.0
81248.0 511.0
81350.0 513.0
81453.0 512.0
81556.0 513.0
81658.0 511.0
81761.0 510.0
81863.0 509.0
81966.0 513.0
82068.0 510.0
82167.0 511.0
82272.0 514.0
82371.0 508.0
82474.0 510.0
82577.0 513.0
82679.0 512.0
82720.0 504.0
82825.0 506.0
82922.0 509.0
83027.0 512.0
83129.0 504.0
83229.0 511.0
83337.0 509.0
83438.0 519.0
83541.0 516.0
83642.0 516.0
83722.0 516.0
83827.0 515.0
83930.0 516.0
84032.0 508.0
84136.0 512.0
84238.0 510.0
84340.0 511.0
84423.0 511.0
84525.0 517.0
84625.0 513.0
84728.0 514.0
84829.0 512.0
84932.0 511.0
85034.0 513.0
85137.0 514.0
85239.0 513.0
85342.0 510.0
85444.0 509.0
ECG DATA
77459.0 517.0
77562.0 512.0
77664.0 516.0
77767.0 514.0
77869.0 509.0
77972.0 515.0
78072.0 515.0
78174.0 516.0
78277.0 513.0
78378.0 520.0
78424.0 509.0
78583.0 512.0
78627.0 509.0
78723.0 503.0
78828.0 515.0
78931.0 511.0
79033.0 509.0
79137.0 520.0
79239.0 510.0
79341.0 513.0
79424.0 507.0
79527.0 513.0
79629.0 514.0
79731.0 510.0
79833.0 515.0
79937.0 513.0
80039.0 512.0
80136.0 512.0
80225.0 516.0
80327.0 510.0
80430.0 517.0
80531.0 511.0
80635.0 513.0
80737.0 515.0
80839.0 512.0
80940.0 512.0
81043.0 515.0
81146.0 514.0
81248.0 508.0
81350.0 509.0
81453.0 509.0
81556.0 520.0
81658.0 515.0
81761.0 515.0
81863.0 515.0
81966.0 511.0
82068.0 510.0
82167.0 518.0
82272.0 514.0
82371.0 510.0
82474.0 511.0
82577.0 509.0
82679.0 510.0
82720.0 518.0
82825.0 509.0
82922.0 515.0
83027.0 516.0
83129.0 507.0
83229.0 508.0
83337.0 513.0
83438.0 516.0
83541.0 520.0
83642.0 519.0
83722.0 512.0
83827.0 507.0
83930.0 510.0
84032.0 514.0
84136.0 515.0
84238.0 511.0
84340.0 512.0
84423.0 515.0
84525.0 518.0
84625.0 514.0
84728.0 518.0
84829.0 514.0
84932.0 513.0
85034.0 512.0
85137.0 511.0
85239.0 516.0
85342.0 504.0
85444.0 507.0
COMMENTS
cfxfdxcvbncvxzcvbnm,
